순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,Year,Team
1,양준혁,삼성,0.337,123,544,442,78,149,34,0,22,249,72,1,2,2007,삼성
4,박한이,삼성,0.267,123,559,479,68,128,12,1,2,148,27,4,5,2007,삼성
5,심정수,삼성,0.258,124,515,427,64,110,17,0,31,220,101,0,2,2007,삼성
6,신명철,삼성,0.252,126,471,416,43,105,20,2,5,144,31,23,2,2007,삼성
1,이대형,LG,0.308,125,509,451,68,139,13,1,1,157,31,13,2,2007,LG
2,최동수,LG,0.306,125,493,431,49,132,23,0,12,191,58,3,6,2007,LG
4,이종열,LG,0.285,121,459,389,46,111,13,2,4,140,53,19,4,2007,LG
5,발데스,LG,0.283,116,512,435,50,123,15,0,13,177,72,0,5,2007,LG
6,조인성,LG,0.282,124,464,419,44,118,24,0,13,181,73,6,5,2007,LG
8,박용택,LG,0.278,126,532,479,69,133,24,4,14,207,66,4,5,2007,LG
3,김동주,두산,0.322,119,481,382,68,123,24,0,19,204,78,0,2,2007,두산
4,이종욱,두산,0.316,123,528,465,84,147,20,12,1,194,46,6,4,2007,두산
8,고영민,두산,0.268,126,536,444,89,119,29,1,12,186,66,8,6,2007,두산
13,최준석,두산,0.244,121,451,386,48,94,20,2,16,166,75,5,7,2007,두산
8,최정,SK,0.267,122,462,408,49,109,19,1,16,178,66,9,1,2007,SSG
2,이대호,롯데,0.335,121,514,415,79,139,21,1,29,249,87,0,5,2007,롯데
9,강민호,롯데,0.271,125,474,413,48,112,20,0,14,174,68,17,3,2007,롯데
3,크루즈,한화,0.321,121,498,418,68,134,30,0,22,230,85,0,4,2007,한화
4,김태균,한화,0.290,118,491,393,62,114,13,0,21,190,85,0,6,2007,한화
5,김민재,한화,0.273,118,451,395,43,108,17,0,6,143,47,20,1,2007,한화
10,고동진,한화,0.249,124,473,394,68,98,8,5,1,119,37,11,2,2007,한화
11,이범호,한화,0.246,126,505,418,57,103,14,0,21,180,63,6,4,2007,한화
1,이용규,KIA,0.312,106,473,417,62,130,24,6,0,166,38,6,0,2008,KIA
6,박석민,삼성,0.279,126,499,416,65,116,27,1,14,187,64,8,2,2008,삼성
11,이대형,LG,0.264,126,574,523,71,138,5,2,0,147,33,9,1,2008,LG
1,김현수,두산,0.357,126,558,470,83,168,34,5,9,239,89,0,2,2008,두산
2,홍성흔,두산,0.331,114,460,423,45,140,19,2,8,187,63,3,5,2008,두산
3,김동주,두산,0.309,109,451,363,55,112,12,2,18,182,104,0,13,2008,두산
4,이종욱,두산,0.301,122,522,458,98,138,14,5,0,162,28,6,2,2008,두산
7,고영민,두산,0.267,126,528,427,84,114,15,3,9,162,70,7,6,2008,두산
2,최정,SK,0.328,114,476,406,77,133,24,1,12,195,61,10,2,2008,SSG
3,박재홍,SK,0.318,112,471,396,66,126,26,2,19,213,72,0,3,2008,SSG
6,정근우,SK,0.314,124,550,491,73,154,20,4,8,206,58,6,4,2008,SSG
2,조성환,롯데,0.327,123,525,462,79,151,27,3,10,214,81,4,11,2008,롯데
3,김주찬,롯데,0.313,104,458,412,75,129,16,7,1,162,42,9,5,2008,롯데
5,이대호,롯데,0.301,122,527,435,73,131,23,0,18,208,94,0,12,2008,롯데
6,강민호,롯데,0.292,122,501,435,51,127,25,1,19,211,82,0,10,2008,롯데
10,가르시아,롯데,0.283,125,513,460,68,130,25,2,30,249,111,0,2,2008,롯데
2,김태균,한화,0.324,115,484,410,81,133,27,1,31,255,92,0,5,2008,한화
4,이범호,한화,0.276,125,508,434,80,120,21,3,19,204,77,0,4,2008,한화
7,김태완,한화,0.266,124,450,383,44,102,16,0,23,187,73,0,6,2008,한화
9,클락,한화,0.246,125,546,472,96,116,25,3,22,213,79,1,5,2008,한화
4,송지만,우리,0.280,118,451,414,48,116,18,0,13,173,62,0,4,2008,키움
3,김상현,KIA,0.315,121,496,448,77,141,30,2,36,283,127,0,1,2009,KIA
